Notes,Name,Link,Status,Author,Release Date
Dense Clutter,Learning Push-Grasping in Dense Clutter,https://ieeexplore.ieee.org/document/9815129,Finished,Marios Kiatos; Iason Sarantopoulos; Leonidas Koutras; Sotiris Malassiotis; Zoe Doulgeri,2022
Dense Clutter,Learning Robot Grasping from a Random Pile with Deep Q-Learning,https://link.springer.com/chapter/10.1007/978-3-030-89098-8_14,Finished,Bin Chen12 Jianhua Su12(B) Lili Wang12 and Qipeng Gu12,2021
Dense Clutter,MVGrasp: Real-time multi-view 3D object grasping in highly cluttered environments,https://www.sciencedirect.com/science/article/pii/S0921889022002020,Finished,Hamidreza Kasaei a   Mohammadreza Kasaei b,2023
Dense Clutter,High precision grasp pose detection in dense clutter,https://arxiv.org/abs/1603.01564,Finished,Marcus Gualtieri Andreas ten Pas Kate Saenko Robert Platt,2016
Dense Clutter,GE-Grasp: Efficient Target-Oriented Grasping in Dense Clutter,https://arxiv.org/abs/2207.11941,Finished,Zhan Liu Ziwei Wang Sichao Huang Jie Zhou Jiwen Lu,https://arxiv.org/abs/2207.11941022
Dense Clutter,Learning to Detect Multi-Modal Grasps for Dexterous Grasping in Dense Clutter,https://arxiv.org/abs/2106.03919,Finished,Matt Corsaro Stefanie Tellex George Konidaris,2021
MOG,"Robotic Multi-Object Grasping from a Pile: Techniques and Robotic Multi-Object Grasping from a Pile: Techniques and Algorithms for Enhanced Dexterity ",https://digitalcommons.usf.edu/etd/10607/,Finished,Tianze Chen,2024
MOG,Grasp Multiple Objects with One Hand,https://arxiv.org/abs/2310.15599,Reading,Yuyang Li Bo Liu Yiran Geng Puhao Li Yaodong Yang Yixin Zhu Tengyu Liu Siyuan Huang,2024
Log Grasping,Multi-Log Grasping Using Reinforcement Learning and Virtual Visual Servoing,https://www.mdpi.com/2218-6581/13/1/3,Finished,Erik Wallin  Viktor Wiberg and Martin Servin,2024
Sequential Grasping,Learning Deep Policies for Robot Bin Picking by Simulating Robust Grasping Sequences,https://proceedings.mlr.press/v78/mahler17a.html,Finished,Jeffrey Mahler Ken Goldberg,2017
Push-Grasping,Efficient push-grasping for multiple target objects in clutter environments,https://www.frontiersin.org/journals/neurorobotics/articles/10.3389/fnbot.2023.1188468/full,Reading,Liangdong Wu1Yurou ChenYurou Chen2Zhengwei LiZhengwei Li1Zhiyong Liu Zhiyong Liu123*,2023
,Graspness Discovery in Clutters for Fast and Accurate Grasp Detection,https://arxiv.org/html/2406.11142v1,Reading,Chenxi Wang∗ Hao-Shu Fang∗ Minghao Gou Hongjie Fang Jin Gao Cewu Lu†,2024
6-DoF Pose Synthesis,"DexGraspNet 2.0: Learning Generative Dexterous
Grasping in Large-scale Synthetic Cluttered Scenes
",https://arxiv.org/abs/2410.23004,Finished,Jialiang Zhang Haoran Liu Danshi Li Xinqiang Yu Haoran Geng Yufei Ding Jiayi Chen He Wang,2024
