Name,Author,Link,Notes,Release Date,Status
A Framework for Force and Visual Control of Robot Manipulators,Vincenzo Lippiello Bruno Siciliano & Luigi Villani,https://link.springer.com/chapter/10.1007/978-3-642-14743-2_31,,2010,Shelved
"A Survey on Deep Reinforcement Learning Algorithms for
Robotic Manipulation",Han D.; Mulyana B.; Stankovic V.; Cheng S.,https:// doi.org/10.3390/s23073762,,2023,Shelved
Grasp Planning with CNN for Log-loading Forestry Machine,Elie Ayoub Patrick Levesque and Inna Sharf,https://ieeexplore.ieee.org/document/10161562,AML,2023,Finished
"Assisting Operators of Articulated Machinery with
Optimal Planning and Goal Inference",Ehsan Yousefi; Dylan P. Losey; Inna Sharf,https://ieeexplore.ieee.org/document/9811864,AML,2022,Finished
Hierarchical Planning and Policy Shaping Shared Autonomy for Articulated Robots,Ehsan Yousefi; Mo Chen; Inna Sharf,http://dx.doi.org/10.48550/arXiv.2307.01943,AML,2023,Finished
SARA-RT: Scaling up Robotics Transformers with Self-Adaptive Robust Attention,Isabel Leal Krzysztof Choromanski Deepali Jain Avinava Dubey Jake Varley Michael Ryoo Yao Lu Frederick Liu Vikas Sindhwani Quan Vuong Tamas Sarlos Ken Oslund Karol Hausman Kanishka Rao,https://arxiv.org/abs/2312.01990,ICRA24 Best Paper in Robotic Manipulation,2024,To-do
End-to-End Affordance Learning for Robotic Manipulation,Yiran Geng Boshi An Haoran Geng Yuanpei Chen Yaodong Yang Hao Dong,https://arxiv.org/abs/2209.12941,,2022,Finished
"End-to-End Robotic Reinforcement Learning
without Reward Engineering",Avi Singh Larry Yang Kristian Hartikainen Chelsea Finn Sergey Levine,https://arxiv.org/abs/1904.07854,,2019,To-do
Deep reinforcement learning for robotic manipulation with asynchronous off-policy updates,Shixiang Gu; Ethan Holly; Timothy Lillicrap; Sergey Levine,https://ieeexplore.ieee.org/document/7989385,,2017,Finished
Prediction Horizon-Varying Model Predictive Control (MPC) for Autonomous Vehicle Control,Zhenbin Chen Jiaqin Lai Peixin Li * Omar I. Awad and Yubing Zhu,https://www.mdpi.com/2079-9292/13/8/1442,,2024,Shelved
"End-to-end Reinforcement Learning of Robotic
Manipulation with Robust Keypoints Representation",Tianying Wang; En Yen Puang; Marcus Lee; Wei Jing; Yan Wu,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9980136,,2022,Finished
Dojo: A Differentiable Physics Engine for Robotics,Taylor A. Howell Simon Le Cleac’h Jan Brudigam J. Zico Kolter  Mac Schwager  and Zachary Manchester,https://arxiv.org/pdf/2203.00806,,2023,Finished
Reinforcement Learning-Based Model Predictive Control for Discrete-Time System,Min Lin Zhongqi Sun Yuanqing Xia Jinhui Zhang,https://ieeexplore.ieee.org/document/10129251,,2024,Finished
