t_ns,t_offset_s,parent_frame,child_frame,x,y,z,qx,qy,qz,qw,is_static
1783095501164026651,0.00245971,stick,camera_zed,-0.07291,0.326064,-0.025846,-0.00109050162075051,0.004949226072602273,-0.019530658871341717,0.9997964139421328,True
1783095501164026651,0.00245971,grappletong1,grappletong1_tip,-0.458,0.02,-0.458,0.0,0.0,0.0,1.0,True
1783095501164026651,0.00245971,grappletong2,grappletong2_tip,0.454,0.018,-0.454,0.0,0.0,0.0,1.0,True
1783095501164026651,0.00245971,mast_sensor_bracket,lidar_0/os_sensor,-0.043806,0.063314,-0.021948,0.6988499293469069,0.7118468388389062,0.06583629152957725,0.023418731915118052,True
1783095501164026651,0.00245971,mast,mast_sensor_bracket,-0.15,0.0,0.74,0.0012493490817475706,0.04996355159372734,-0.024966155679015008,0.9984381671939551,True
1783095501164026651,0.00245971,base_link,trailer,0.0,2.5525,-1.39,-0.0052357348385281164,0.009599020993509042,5.026093323567493e-05,0.999940219888422,True
1783095501164026651,0.00245971,mast,zed_0_camera_link,-0.144637,0.128801,1.069843,-0.10708498344911213,0.12468332838867147,0.7680425896534592,0.6189486686471135,True
1783095501164026651,0.00245971,camera_zed,zed_1_camera_link,0.0,0.0,0.0,0.0,0.0,0.706825181105366,0.7073882691671998,True
1783095501164044499,0.002477558,zed_0_camera_link,zed_0_camera_center,0.0,0.0,0.016,0.0,0.0,0.0,1.0,True
1783095501164044499,0.002477558,zed_0_camera_center,zed_0_left_camera_frame,-0.01,0.06,0.0,0.0,0.0,0.0,1.0,True
1783095501164044499,0.002477558,zed_0_left_camera_frame,zed_0_left_camera_frame_optical,0.0,0.0,0.0,0.5,-0.4999999999999999,0.5,-0.5000000000000001,True
1783095501164044499,0.002477558,zed_0_camera_center,zed_0_right_camera_frame,-0.01,-0.06,0.0,0.0,0.0,0.0,1.0,True
1783095501164044499,0.002477558,zed_0_right_camera_frame,zed_0_right_camera_frame_optical,0.0,0.0,0.0,0.5,-0.4999999999999999,0.5,-0.5000000000000001,True
1783095545721098138,44.559531197,base_link,ee_command_marker,-4.503507137298584,-1.2419465780258179,1.685267984867096,0.0,0.0,-0.693190289729029,0.7207546199819914,False
1783095545737159628,44.575592687,zed_0_camera_center,zed_0_left_camera_frame,-0.01,0.060116712003946304,0.0,0.0,0.0,0.0,1.0,False
1783095545737189971,44.57562303,zed_0_camera_center,zed_0_right_camera_frame,-0.01,-0.060116712003946304,0.0,0.0,0.0,0.0,1.0,False
1783095545747279610,44.585712669,upperpassive,lowerpassive,0.0,0.0,-0.154,0.0,0.011344387213581346,0.0,0.9999356503689366,False
1783095545747279610,44.585712669,mast,mainboom,0.0,-0.0601374,1.09553,0.1313912309302832,0.0,0.0,0.991330592907646,False
