time,phase,cycle,ee_x,ee_y,ee_z,target_x,target_y,target_z,pos_error,yaw,yaw_target,yaw_error,gripper,gripper_target
0.40,HOVER_UP,0,-5.5015,0.6481,0.0100,-4.1838,2.6326,1.6174,2.8737,1.4178,1.4178,0.0000,0.1058,0.0500
0.40,HOVER_UP,0,-5.5015,0.6481,0.0100,-4.1838,2.6326,1.6174,2.8737,1.4178,1.4178,0.0000,0.1058,0.0500
0.40,HOVER_UP,0,-5.5006,0.6480,0.0096,-4.1838,2.6326,1.6174,2.8737,1.4178,1.4178,0.0000,0.1058,0.0500
0.50,HOVER_UP,0,-5.4933,0.6471,0.0070,-4.1838,2.6326,1.6174,2.8724,1.4178,1.4178,0.0000,0.1058,0.0500
0.60,HOVER_UP,0,-5.4668,0.6543,0.0128,-4.1838,2.6326,1.6174,2.8521,1.4161,1.4161,0.0000,0.0891,0.0500
0.70,HOVER_UP,0,-5.3918,0.7071,0.0962,-4.1838,2.6326,1.6174,2.7352,1.4053,1.4053,0.0000,0.0742,0.0500
0.80,HOVER_UP,0,-5.3680,0.7561,0.1617,-4.1838,2.6326,1.6174,2.6538,1.3955,1.3955,0.0000,0.0740,0.0500
0.90,HOVER_UP,0,-5.3275,0.8967,0.3132,-4.1838,2.6326,1.6174,2.4541,1.3684,1.3684,0.0000,0.0719,0.0500
1.00,HOVER_UP,0,-5.2992,0.9866,0.3854,-4.1838,2.6326,1.6174,2.3391,1.3510,1.3510,0.0000,0.0687,0.0500
1.10,HOVER_UP,0,-5.2353,1.1888,0.5153,-4.1838,2.6326,1.6174,2.0988,1.3117,1.3117,0.0000,0.0640,0.0500
1.20,HOVER_UP,0,-5.1657,1.3904,0.6367,-4.1838,2.6326,1.6174,1.8626,1.2721,1.2721,0.0000,0.0608,0.0500
1.30,HOVER_UP,0,-5.1335,1.4808,0.6854,-4.1838,2.6326,1.6174,1.7599,1.2542,1.2542,0.0000,0.0597,0.0500
1.40,HOVER_UP,0,-5.0786,1.6200,0.7772,-4.1838,2.6326,1.6174,1.5913,1.2263,1.2263,0.0000,0.0578,0.0500
1.50,HOVER_UP,0,-5.0152,1.7591,0.8781,-4.1838,2.6326,1.6174,1.4145,1.1978,1.1978,0.0000,0.0558,0.0500
1.60,HOVER_UP,0,-4.9652,1.8728,0.9552,-4.1838,2.6326,1.6174,1.2754,1.1746,1.1746,0.0000,0.0546,0.0500
1.70,HOVER_UP,0,-4.9452,1.9162,0.9887,-4.1838,2.6326,1.6174,1.2200,1.1657,1.1657,0.0000,0.0542,0.0500
1.80,HOVER_UP,0,-4.9036,1.9995,1.0531,-4.1838,2.6326,1.6174,1.1124,1.1485,1.1485,0.0000,0.0534,0.0500
1.90,HOVER_UP,0,-4.8767,2.0476,1.0891,-4.1838,2.6326,1.6174,1.0495,1.1383,1.1383,0.0000,0.0529,0.0500
2.00,HOVER_UP,0,-4.8282,2.1358,1.1528,-4.1838,2.6326,1.6174,0.9370,1.1198,1.1198,0.0000,0.0523,0.0500
2.10,HOVER_UP,0,-4.8067,2.1732,1.1817,-4.1838,2.6326,1.6174,0.8882,1.1119,1.1119,0.0000,0.0520,0.0500
2.20,HOVER_UP,0,-4.7674,2.2391,1.2339,-4.1838,2.6326,1.6174,0.8015,1.0979,1.0979,0.0000,0.0515,0.0500
2.30,HOVER_UP,0,-4.7273,2.3007,1.2840,-4.1838,2.6326,1.6174,0.7188,1.0845,1.0845,0.0000,0.0512,0.0500
2.40,HOVER_UP,0,-4.7119,2.3244,1.3033,-4.1838,2.6326,1.6174,0.6874,1.0795,1.0795,0.0000,0.0510,0.0500
2.50,HOVER_UP,0,-4.6830,2.3660,1.3383,-4.1838,2.6326,1.6174,0.6311,1.0704,1.0704,0.0000,0.0508,0.0500
2.60,HOVER_UP,0,-4.6480,2.4128,1.3775,-4.1838,2.6326,1.6174,0.5669,1.0598,1.0598,0.0000,0.0506,0.0500
2.70,HOVER_UP,0,-4.6345,2.4296,1.3921,-4.1838,2.6326,1.6174,0.5432,1.0559,1.0559,0.0000,0.0506,0.0500
2.80,HOVER_UP,0,-4.6092,2.4593,1.4176,-4.1838,2.6326,1.6174,0.5009,1.0489,1.0489,0.0000,0.0505,0.0500
2.90,HOVER_UP,0,-4.5791,2.4927,1.4458,-4.1838,2.6326,1.6174,0.4531,1.0406,1.0406,0.0000,0.0504,0.0500
